plate,well,compound,dose,score
6,compound-002_6_J28,CRISPR_control,,1.166298270225525
6,compound-002_6_J38,CRISPR_control,,0.8749011754989624
6,compound-002_6_J42,EMPTY_control,,1.3018356561660767
6,compound-002_6_K02,CRISPR_control,,1.3926942348480225
6,compound-002_6_K06,CRISPR_control,,1.0084280967712402
6,compound-002_6_K08,CRISPR_control,,0.7056913375854492
6,compound-002_6_K10,CRISPR_control,,1.2388912439346313
6,compound-002_6_K12,CRISPR_control,,0.8981265425682068
6,compound-002_6_K14,fruquintinib,1.0,0.5617274641990662
6,compound-002_6_K21,CRISPR_control,,0.570374071598053
6,compound-002_6_K24,Irbesartan,0.1,0.7984219789505005
6,compound-002_6_K29,CRISPR_control,,0.9985751509666443
6,compound-002_6_K33,Gedatolisib,10.0,1.9813100099563599
6,compound-002_6_K41,(-)-Huperzine A (HupA),0.1,0.44879084825515747
6,compound-002_6_K44,CRISPR_control,,1.2344064712524414
6,compound-002_6_K45,CRISPR_control,,1.025946855545044
6,compound-002_6_L04,Torsemide,0.0025,1.111569881439209
6,compound-002_6_L05,CRISPR_control,,1.5470446348190308
6,compound-002_6_L10,CRISPR_control,,0.5970582365989685
6,compound-002_6_L20,Irbesartan,1.0,0.9463054537773132
6,compound-002_6_L22,Irbesartan,0.25,0.878226637840271
6,compound-002_6_L27,EMPTY_control,,1.1645116806030273
6,compound-002_6_L31,CRISPR_control,,1.0616918802261353
6,compound-002_6_L34,PD168393,0.25,0.9043781161308289
6,compound-002_6_L37,CRISPR_control,,0.7160509824752808
6,compound-002_6_L38,Torsemide,0.1,0.9527786374092102
6,compound-002_6_L39,EMPTY_control,,0.9884268045425415
6,compound-002_6_L40,EMPTY_control,,0.8389212489128113
6,compound-002_6_L44,CRISPR_control,,1.0038444995880127
6,compound-002_6_M02,EMPTY_control,,0.7127918601036072
6,compound-002_6_M05,EMPTY_control,,0.910972535610199
6,compound-002_6_M12,CRISPR_control,,0.8044835329055786
6,compound-002_6_M15,EMPTY_control,,0.9717817902565002
6,compound-002_6_M19,CRISPR_control,,0.6511526703834534
6,compound-002_6_M25,CRISPR_control,,1.0421969890594482
6,compound-002_6_M28,Netupitant,10.0,0.9937072992324829
6,compound-002_6_M34,Lumiracoxib,0.25,0.6669109463691711
6,compound-002_6_M42,EMPTY_control,,1.010780930519104
6,compound-002_6_M46,CRISPR_control,,1.2725449800491333
6,compound-002_6_N02,Gedatolisib,2.5,1.5417779684066772
6,compound-002_6_N03,CRISPR_control,,1.084181308746338
6,compound-002_6_N06,CRISPR_control,,0.866579532623291
6,compound-002_6_N07,Irbesartan,0.01,0.9576275944709778
6,compound-002_6_N09,Tafenoquine succinate,0.0025,0.6741873621940613
6,compound-002_6_N11,CRISPR_control,,1.4973715543746948
6,compound-002_6_N14,CRISPR_control,,1.0541136264801025
6,compound-002_6_N17,Gedatolisib,0.1,1.007622241973877
6,compound-002_6_N19,CRISPR_control,,0.6284752488136292
6,compound-002_6_N27,CRISPR_control,,1.0224418640136719
6,compound-002_6_N32,AZM475271,2.5,0.8617001175880432
6,compound-002_6_N33,GSK256066,2.5,1.1197043657302856
6,compound-002_6_N34,Paliperidone,0.025,1.0023571252822876
6,compound-002_6_N40,mozavaptan,1.0,1.2513047456741333
6,compound-002_6_N45,EMPTY_control,,1.1563365459442139
6,compound-002_6_O03,mozavaptan,0.25,1.1843761205673218
6,compound-002_6_O05,(-)-Huperzine A (HupA),1.0,1.2374483346939087
6,compound-002_6_O12,EMPTY_control,,1.2555385828018188
6,compound-002_6_O13,Rosuvastatin,0.25,1.1721183061599731
6,compound-002_6_O17,CRISPR_control,,0.6200731992721558
6,compound-002_6_O19,AZM475271,0.25,0.7600590586662292
6,compound-002_6_O23,Epothilone A,2.5,1.8101189136505127
6,compound-002_6_O25,(-)-Huperzine A (HupA),0.025,0.8110261559486389
6,compound-002_6_O26,CRISPR_control,,0.6548195481300354
6,compound-002_6_O29,Gedatolisib,0.01,0.8836507797241211
6,compound-002_6_O30,CRISPR_control,,0.6134420037269592
6,compound-002_6_O40,GSK256066,0.25,1.0645544528961182
6,compound-002_6_O41,Paliperidone,1.0,1.2900347709655762
6,compound-002_6_P04,Irbesartan,0.025,1.3938344717025757
6,compound-002_6_P14,CRISPR_control,,1.0033856630325317
6,compound-002_6_P17,Gedatolisib,1.0,1.1071045398712158
6,compound-002_6_P23,Flavopiridol,2.5,2.9249463081359863
6,compound-002_6_P26,brigatinib,0.1,0.6636987328529358
6,compound-002_6_P29,CRISPR_control,,0.7651780843734741
6,compound-002_6_P34,CRISPR_control,,0.8425320982933044
6,compound-002_6_P35,CRISPR_control,,1.0291430950164795
6,compound-002_6_P36,CRISPR_control,,0.8038525581359863
6,compound-002_6_P38,CRISPR_control,,0.754015326499939
6,compound-002_6_P41,CRISPR_control,,0.5410358309745789
6,compound-002_6_P42,EMPTY_control,,0.931535005569458
6,compound-002_6_P46,CRISPR_control,,1.0485087633132935
6,compound-002_6_Q02,Topotecan,2.5,0.5895701050758362
6,compound-002_6_Q06,CRISPR_control,,0.8306494951248169
6,compound-002_6_Q11,fruquintinib,0.025,0.975073516368866
6,compound-002_6_Q15,CRISPR_control,,0.9954836368560791
6,compound-002_6_Q17,Netupitant,0.025,0.5242382287979126
6,compound-002_6_Q19,(-)-Huperzine A (HupA),0.0025,0.9738515019416809
6,compound-002_6_Q27,EMPTY_control,,0.9949623346328735
6,compound-002_6_Q32,(-)-Huperzine A (HupA),2.5,0.6552867889404297
6,compound-002_6_Q35,CRISPR_control,,0.6050923466682434
6,compound-002_6_Q41,CRISPR_control,,1.0365906953811646
6,compound-002_6_Q42,Netupitant,1.0,0.9630497097969055
6,compound-002_6_Q43,GDC-0994,0.25,0.8066872358322144
6,compound-002_6_Q44,CRISPR_control,,0.7409425973892212
6,compound-002_6_R03,Folic acid,0.025,0.7137365937232971
6,compound-002_6_R04,CRISPR_control,,1.0323597192764282
6,compound-002_6_R06,Tafenoquine succinate,0.025,0.8044135570526123
6,compound-002_6_R09,Trazodone,0.25,1.4568750858306885
6,compound-002_6_R15,EMPTY_control,,1.219193458557129
6,compound-002_6_R16,MLN2238,2.5,3.3564252853393555
6,compound-002_6_R23,CRISPR_control,,0.6744956970214844
6,compound-002_6_R26,CRISPR_control,,0.9242095351219177
6,compound-002_6_R32,KPT-185,0.25,1.1075270175933838
6,compound-002_6_R46,CRISPR_control,,0.8673768043518066
6,compound-002_6_S02,BIRB 796,2.5,0.8907874226570129
6,compound-002_6_S11,CRISPR_control,,0.9498162269592285
6,compound-002_6_S12,CRISPR_control,,1.040293574333191
6,compound-002_6_S21,Netupitant,0.0025,0.599224328994751
6,compound-002_6_S24,CRISPR_control,,0.38334909081459045
6,compound-002_6_S28,CRISPR_control,,0.67634516954422
6,compound-002_6_S29,Paliperidone,2.5,0.5739405751228333
6,compound-002_6_S37,lovastatin,2.5,0.7637015581130981
6,compound-002_6_S41,CRISPR_control,,1.82603919506073
6,compound-002_6_S42,CRISPR_control,,0.5846628546714783
6,compound-002_6_S43,CRISPR_control,,0.45541810989379883
6,compound-002_6_S44,Torsemide,0.01,0.7907006740570068
6,compound-002_6_S46,EMPTY_control,,0.8407145738601685
6,compound-002_6_S47,CRISPR_control,,0.7145075798034668
6,compound-002_6_T06,EMPTY_control,,1.3927557468414307
6,compound-002_6_T09,Flavopiridol,0.25,1.5704833269119263
6,compound-002_6_T11,CRISPR_control,,1.1837825775146484
6,compound-002_6_T17,Rufinamide,0.25,1.2355024814605713
6,compound-002_6_T20,CRISPR_control,,0.9488922357559204
6,compound-002_6_T27,(-)-Huperzine A (HupA),10.0,1.0070987939834595
6,compound-002_6_T30,CRISPR_control,,0.7364042401313782
6,compound-002_6_T32,CRISPR_control,,0.3228101432323456
6,compound-002_6_T33,fruquintinib,0.0025,0.7384942770004272
6,compound-002_6_T34,Letrozole,0.25,0.5985596179962158
6,compound-002_6_T43,CRISPR_control,,0.8608482480049133
6,compound-002_6_T44,CRISPR_control,,0.6043227910995483
6,compound-002_6_U02,CRISPR_control,,0.8229420781135559
6,compound-002_6_U06,CRISPR_control,,1.0347017049789429
6,compound-002_6_U10,BI 2536,2.5,1.2965493202209473
6,compound-002_6_U11,brigatinib,2.5,0.850679874420166
6,compound-002_6_U13,Apricitabine,0.025,1.052522897720337
6,compound-002_6_U19,CRISPR_control,,0.5920485854148865
6,compound-002_6_U23,CRISPR_control,,0.8802472949028015
6,compound-002_6_U24,Netupitant,0.1,0.9162530899047852
6,compound-002_6_U28,Gedatolisib,0.0025,0.7696551084518433
6,compound-002_6_U41,CRISPR_control,,0.671995222568512
6,compound-002_6_U46,Apricitabine,0.25,0.7941423058509827
6,compound-002_6_V09,Esomeprazole,2.5,0.745194673538208
6,compound-002_6_V10,Folic acid,10.0,0.8819092512130737
6,compound-002_6_V18,Paliperidone,10.0,0.7301125526428223
6,compound-002_6_V28,CRISPR_control,,0.7849380970001221
6,compound-002_6_V36,MLN2238,0.25,2.176007032394409
6,compound-002_6_V46,CRISPR_control,,1.0435682535171509
6,compound-002_6_W04,CRISPR_control,,0.8312872648239136
6,compound-002_6_W05,CRISPR_control,,0.8401123881340027
6,compound-002_6_W16,EMPTY_control,,1.386928915977478
6,compound-002_6_W18,CRISPR_control,,0.4029512405395508
6,compound-002_6_W19,CRISPR_control,,0.4590108096599579
6,compound-002_6_W26,CRISPR_control,,0.7939504384994507
6,compound-002_6_W27,EMPTY_control,,1.2197591066360474
6,compound-002_6_W28,(-)-Huperzine A (HupA),0.01,0.9573795199394226
6,compound-002_6_W29,CRISPR_control,,0.7531822323799133
6,compound-002_6_W32,mozavaptan,0.0025,0.6788133978843689
6,compound-002_6_W35,Irbesartan,0.0025,1.3586214780807495
6,compound-002_6_W37,EMPTY_control,,1.1429853439331055
6,compound-002_6_W38,EMPTY_control,,0.829662561416626
6,compound-002_6_W40,CRISPR_control,,0.8696264028549194
6,compound-002_6_X02,Folic acid,0.25,0.9224415421485901
6,compound-002_6_X04,CRISPR_control,,1.4153858423233032
6,compound-002_6_X14,Folic acid,0.1,0.8741098642349243
6,compound-002_6_X15,CRISPR_control,,1.274957299232483
6,compound-002_6_X16,EMPTY_control,,1.086127758026123
6,compound-002_6_X17,CRISPR_control,,0.6163716316223145
6,compound-002_6_X19,CRISPR_control,,1.1083191633224487
6,compound-002_6_X21,Peficitinb,2.5,0.5385780334472656
6,compound-002_6_X24,Netupitant,0.01,1.0572001934051514
6,compound-002_6_X33,CRISPR_control,,0.6299365758895874
6,compound-002_6_X36,EMPTY_control,,1.2926677465438843
6,compound-002_6_X37,EMPTY_control,,0.8256380558013916
6,compound-002_6_X38,EMPTY_control,,0.9149805307388306
6,compound-002_6_X39,EMPTY_control,,1.0119942426681519
6,compound-002_6_X40,CRISPR_control,,0.8291324973106384
6,compound-002_6_X41,CRISPR_control,,0.99168860912323
6,compound-002_6_X42,fruquintinib,2.5,0.5849910974502563
6,compound-002_6_Y02,Irbesartan,10.0,1.130155086517334
6,compound-002_6_Y03,Apricitabine,0.01,0.8097357153892517
6,compound-002_6_Y13,CRISPR_control,,0.7451825737953186
6,compound-002_6_Y14,EMPTY_control,,1.1591603755950928
6,compound-002_6_Y17,CRISPR_control,,1.1184849739074707
6,compound-002_6_Y19,CRISPR_control,,0.7735065817832947
6,compound-002_6_Y27,CRISPR_control,,1.0051774978637695
6,compound-002_6_Y30,EMPTY_control,,1.0223454236984253
6,compound-002_6_Y31,EMPTY_control,,1.2700399160385132
6,compound-002_6_Y43,mozavaptan,2.5,0.9466487765312195
6,compound-002_6_Y46,Torsemide,0.25,1.1220062971115112
6,compound-002_6_Y47,GSK429286A,0.25,0.7483593225479126
6,compound-002_6_Z03,Esomeprazole,0.25,1.135593295097351
6,compound-002_6_Z04,Trazodone,2.5,1.1446623802185059
6,compound-002_6_Z14,KPT-185,2.5,0.7936781644821167
6,compound-002_6_Z18,EMPTY_control,,0.9748183488845825
6,compound-002_6_Z20,CRISPR_control,,0.7896575331687927
6,compound-002_6_Z26,CRISPR_control,,0.8482089638710022
6,compound-002_6_Z33,EMPTY_control,,1.4719589948654175
6,compound-003_6_AA02,Dipyridamole,10.0,0.7275209426879883
6,compound-003_6_AA03,Clomipramine,1.0,0.9658403992652893
6,compound-003_6_AA04,ifosfamide,0.025,0.8179976940155029
6,compound-003_6_AA06,Tizanidine,0.01,1.2944639921188354
6,compound-003_6_AA07,SB202190,0.1,0.9485662579536438
6,compound-003_6_AA09,PD168393,2.5,1.380333662033081
6,compound-003_6_AA11,Fluvastatin (sodium salt hydrate),0.01,2.4696149826049805
6,compound-003_6_AA12,Moexipril,2.5,1.1716444492340088
6,compound-003_6_AA13,CRISPR_control,,1.4566963911056519
6,compound-003_6_AA14,Fasudil,0.1,0.932125449180603
6,compound-003_6_AA16,Otilonium,0.0025,0.568231463432312
6,compound-003_6_AA18,CRISPR_control,,1.1191306114196777
6,compound-003_6_AA19,lubiprostone,10.0,1.5457282066345215
6,compound-003_6_AA20,Diosmetin,0.0025,1.0494484901428223
6,compound-003_6_AA21,Pramiracetam,0.1,0.9626870155334473
6,compound-003_6_AA24,Lacidipine,10.0,1.8619977235794067
6,compound-003_6_AA26,CRISPR_control,,0.5058928728103638
6,compound-003_6_AA32,chenodeoxycholic-acid,0.025,0.8868265151977539
6,compound-003_6_AA33,Topiramate,0.025,2.346015691757202
6,compound-003_6_AA34,isradipine,0.25,2.412020206451416
6,compound-003_6_AA36,Clomipramine,0.25,0.5862705707550049
6,compound-003_6_AA39,doxazosin,1.0,1.0779850482940674
6,compound-003_6_AA40,Gallamine,0.01,1.6427991390228271
6,compound-003_6_AA41,BIRB 796,0.25,0.7000622749328613
6,compound-003_6_AA43,BIIB021,2.5,1.6224368810653687
6,compound-003_6_AA46,Topiramate,10.0,0.9089587926864624
6,compound-003_6_AA47,Vidarabine,0.01,0.5813184380531311
6,compound-003_6_AB02,CRISPR_control,,1.2129281759262085
6,compound-003_6_AB03,Clomipramine,2.5,0.8056502938270569
6,compound-003_6_AB04,Mitoxantrone,10.0,5.199888229370117
6,compound-003_6_AB05,Fluvastatin (sodium salt hydrate),0.0025,1.4911255836486816
6,compound-003_6_AB06,Chlorhexidine,2.5,1.0719125270843506
6,compound-003_6_AB07,CRISPR_control,,0.6601398587226868
6,compound-003_6_AB08,Otilonium,0.1,2.791437864303589
6,compound-003_6_AB10,CRISPR_control,,0.5715799331665039
6,compound-003_6_AB16,CRISPR_control,,1.227021336555481
6,compound-003_6_AB23,CRISPR_control,,0.7124546766281128
6,compound-003_6_AB25,pranoprofen,0.025,1.668935775756836
6,compound-003_6_AB27,CRISPR_control,,0.8050750494003296
6,compound-003_6_AB29,CRISPR_control,,0.6963093280792236
6,compound-003_6_AB31,Rufinamide,0.25,0.9258465766906738
6,compound-003_6_AB33,Methoxsalen,0.01,0.6138200759887695
6,compound-003_6_AB34,CRISPR_control,,0.6978737711906433
6,compound-003_6_AB35,Primidone,0.025,0.7861014604568481
6,compound-003_6_AB36,Hesperetin,0.25,0.608923614025116
6,compound-003_6_AB37,SB202190,2.5,0.7132973670959473
6,compound-003_6_AB40,L-Adrenaline,0.25,0.4493159055709839
6,compound-003_6_AB43,Pyrimethamine,1.0,0.5756540894508362
6,compound-003_6_AC02,Famciclovir,0.01,0.6310443878173828
6,compound-003_6_AC03,GDC-0994,2.5,0.4490002691745758
6,compound-003_6_AC04,EMPTY_control,,0.5821129083633423
6,compound-003_6_AC09,CRISPR_control,,1.411730408668518
6,compound-003_6_AC13,Lacidipine,1.0,0.41266342997550964
6,compound-003_6_AC16,flunixin-meglumin,0.25,0.46185120940208435
6,compound-003_6_AC20,LY2835219,2.5,2.0505118370056152
6,compound-003_6_AC21,Cediranib,0.1,1.0332196950912476
6,compound-003_6_AC22,EMPTY_control,,0.6276933550834656
6,compound-003_6_AC23,Vidarabine,0.1,0.5234772562980652
6,compound-003_6_AC24,L-Adrenaline,0.025,0.5111547708511353
6,compound-003_6_AC25,Dipyridamole,0.1,0.8430073857307434
6,compound-003_6_AC26,Acyclovir,0.0025,0.449523001909256
6,compound-003_6_AC27,Ranitidine,0.0025,0.6014654636383057
6,compound-003_6_AC31,Raltegravir,0.025,0.6122123599052429
6,compound-003_6_AC32,CRISPR_control,,0.4670259952545166
6,compound-003_6_AC33,isradipine,0.0025,0.471524715423584
6,compound-003_6_AC34,Pramiracetam,0.0025,0.6704989075660706
6,compound-003_6_AC35,CRISPR_control,,0.6594587564468384
6,compound-003_6_AC36,flunixin-meglumin,0.0025,0.520908534526825
6,compound-003_6_AC37,CRISPR_control,,0.5708170533180237
6,compound-003_6_AC38,Theophylline,0.025,0.5155239105224609
6,compound-003_6_AC39,CRISPR_control,,1.7800254821777344
6,compound-003_6_AC40,Topiramate,0.25,1.0969008207321167
6,compound-003_6_AC41,lubiprostone,2.5,0.5041619539260864
6,compound-003_6_AC42,CRISPR_control,,0.5314627289772034
6,compound-003_6_AC44,Thiabendazole,1.0,0.5902215838432312
6,compound-003_6_AD03,Vidarabine,10.0,0.632195770740509
6,compound-003_6_AD04,Sulfamethizole,0.01,0.5464000105857849
6,compound-003_6_AD06,Bexarotene,0.01,1.286659598350525
6,compound-003_6_AD08,CRISPR_control,,0.6879229545593262
6,compound-003_6_AD09,chenodeoxycholic-acid,10.0,0.8101906776428223
6,compound-003_6_AD11,Moxonidine,0.01,0.4936954975128174
6,compound-003_6_AD12,Bexarotene,0.025,0.9072628617286682
6,compound-003_6_AD14,CRISPR_control,,1.1169313192367554
6,compound-003_6_AD15,Mitoxantrone,0.025,1.27566659450531
6,compound-003_6_AD17,YO-01027,0.0025,1.709454894065857
6,compound-003_6_AD18,BIIB021,0.25,1.7931536436080933
6,compound-003_6_AD19,dapagliflozin,0.25,0.5678070187568665
6,compound-003_6_AD20,Lumiracoxib,2.5,0.5295078754425049
6,compound-003_6_AD21,Hesperetin,10.0,0.5583668351173401
6,compound-003_6_AD24,CRISPR_control,,1.0153104066848755
6,compound-003_6_AD25,Peficitinb,2.5,0.5098654627799988
6,compound-003_6_AD27,Chlorhexidine,1.0,0.5519463419914246
6,compound-003_6_AD28,YO-01027,10.0,1.5609126091003418
6,compound-003_6_AD29,EMPTY_control,,0.6311922669410706
6,compound-003_6_AD31,Moexipril,0.0025,0.997516930103302
6,compound-003_6_AD32,Ranitidine,10.0,0.4797132909297943
6,compound-003_6_AD33,YO-01027,0.01,0.6988623142242432
6,compound-003_6_AD34,Fasudil,1.0,1.177531361579895
6,compound-003_6_AD35,Chlorhexidine,0.25,0.5418516397476196
6,compound-003_6_AD38,EMPTY_control,,0.608709990978241
6,compound-003_6_AD39,Tenofovir Disoproxil Fumarate,0.0025,0.6028291583061218
6,compound-003_6_AD40,CRISPR_control,,0.6115205883979797
6,compound-003_6_AD43,Degrasyn,0.01,0.46212756633758545
6,compound-003_6_AD44,isradipine,1.0,0.8126465678215027
6,compound-003_6_AD45,telaprevir,2.5,0.9063361287117004
6,compound-003_6_AE04,Rotundine,0.1,0.8143031001091003
6,compound-003_6_AE05,doxazosin,0.025,1.2105696201324463
6,compound-003_6_AE06,Lacidipine,0.025,0.5760121941566467
6,compound-003_6_AE07,Methoxsalen,0.1,1.7830958366394043
6,compound-003_6_AE09,Indirubin,2.5,0.6364340782165527
6,compound-003_6_AE12,Cabazitaxel,1.0,2.5040087699890137
6,compound-003_6_AE13,Topiramate,0.01,0.7492872476577759
6,compound-003_6_AE15,CRISPR_control,,0.7370486855506897
6,compound-003_6_AE16,Rotundine,0.25,1.0266512632369995
6,compound-003_6_AE18,telaprevir,0.025,0.7651399374008179
6,compound-003_6_AE20,CRISPR_control,,0.6905748844146729
6,compound-003_6_AE24,PCI-24781,0.025,0.6469913125038147
6,compound-003_6_AE25,CRISPR_control,,0.4944347143173218
6,compound-003_6_AE27,CRISPR_control,,0.5243469476699829
6,compound-003_6_AE29,Telbivudine,2.5,0.6706225872039795
6,compound-003_6_AE30,CRISPR_control,,0.5693930983543396
6,compound-003_6_AE31,Dabrafenib,10.0,0.8888995051383972
6,compound-003_6_AE32,Gallamine,0.0025,0.6105042099952698
6,compound-003_6_AE33,Cilostazol,0.1,0.6666890978813171
6,compound-003_6_AE34,pranoprofen,0.01,0.38264143466949463
6,compound-003_6_AE37,EMPTY_control,,0.43603119254112244
6,compound-003_6_AE38,CRISPR_control,,0.6119542717933655
6,compound-003_6_AE42,CRISPR_control,,0.916721761226654
6,compound-003_6_AE43,Cediranib,0.025,1.214153528213501
6,compound-003_6_AE44,CRISPR_control,,4.6613922119140625
6,compound-003_6_AE45,Telbivudine,0.025,0.6826504468917847
6,compound-003_6_AE46,flunixin-meglumin,0.1,0.5395684838294983
6,compound-003_6_AE47,Tenofovir Disoproxil Fumarate,10.0,0.6007596254348755
6,compound-003_6_B02,CRISPR_control,,2.93026065826416
6,compound-003_6_B03,CRISPR_control,,0.5514269471168518
6,compound-003_6_B05,Cabazitaxel,10.0,5.1078877449035645
6,compound-003_6_B06,bethanechol,0.25,2.5538060665130615
6,compound-003_6_B07,ifosfamide,0.0025,0.7119395732879639
6,compound-003_6_B08,Bexarotene,0.0025,1.1115864515304565
6,compound-003_6_B10,Diosmetin,0.25,1.250032901763916
6,compound-003_6_B19,telaprevir,0.1,1.23832368850708
6,compound-003_6_B20,Otilonium,0.01,0.9076111316680908
6,compound-003_6_B21,CRISPR_control,,0.7164983153343201
6,compound-003_6_B24,doxazosin,0.01,0.5737692713737488
6,compound-003_6_B25,CRISPR_control,,0.9135187268257141
6,compound-003_6_B26,dapagliflozin,0.1,1.2101572751998901
6,compound-003_6_B27,CRISPR_control,,0.6262074708938599
6,compound-003_6_B29,Dabrafenib,2.5,0.6675038933753967
6,compound-003_6_B30,EMPTY_control,,0.7993550896644592
6,compound-003_6_B33,isradipine,2.5,0.4921635091304779
6,compound-003_6_B34,Topiramate,0.0025,1.1720585823059082
6,compound-003_6_B46,Amfebutamone,0.25,0.4314415156841278
6,compound-003_6_B47,Tadalafil,0.01,0.9542040824890137
6,compound-003_6_C03,CRISPR_control,,0.6883760690689087
6,compound-003_6_C06,Epothilone A,0.25,5.353593826293945
6,compound-003_6_C10,Alibendol,1.0,0.4443489611148834
6,compound-003_6_C11,Esomeprazole,2.5,0.5226532220840454
6,compound-003_6_C15,EMPTY_control,,0.5013239979743958
6,compound-003_6_C16,MI-773,2.5,3.976409435272217
6,compound-003_6_C18,Sulfamethizole,0.25,1.9455184936523438
6,compound-003_6_C19,telaprevir,1.0,1.199177622795105
6,compound-003_6_C25,Arbidol,1.0,0.588257372379303
6,compound-003_6_C26,EMPTY_control,,0.5183232426643372
6,compound-003_6_C27,Dabrafenib,0.01,0.8036297559738159
6,compound-003_6_C28,FT-207,0.25,1.348584771156311
6,compound-003_6_C29,CRISPR_control,,1.3339897394180298
6,compound-003_6_C30,FT-207,0.0025,1.423079490661621
6,compound-003_6_C31,Cilostazol,1.0,1.0876835584640503
6,compound-003_6_C32,Primidone,0.1,0.6116085648536682
6,compound-003_6_C34,MLN9708,0.25,4.240760326385498
6,compound-003_6_C35,Dipyridamole,0.25,0.6093412041664124
6,compound-003_6_C36,L-Adrenaline,1.0,0.9517224431037903
6,compound-003_6_C40,CRISPR_control,,0.6838698983192444
6,compound-003_6_C41,CRISPR_control,,0.46470755338668823
6,compound-003_6_C45,CRISPR_control,,0.9269945025444031
6,compound-003_6_D04,Sclareolide,0.025,2.578739881515503
6,compound-003_6_D06,EMPTY_control,,0.6076157689094543
6,compound-003_6_D07,6-Mercaptopurine (6-MP),0.25,1.6444225311279297
6,compound-003_6_D09,pranoprofen,0.1,1.2133845090866089
6,compound-003_6_D10,CRISPR_control,,1.7486283779144287
6,compound-003_6_D11,CRISPR_control,,0.3348536193370819
6,compound-003_6_D12,CRISPR_control,,1.319980263710022
6,compound-003_6_D13,CRISPR_control,,1.7689614295959473
6,compound-003_6_D16,EMPTY_control,,0.7768856287002563
6,compound-003_6_D18,pranoprofen,0.25,0.39799603819847107
6,compound-003_6_D19,Indirubin,0.25,2.6954336166381836
6,compound-003_6_D20,Chlorhexidine,0.1,0.5943148732185364
6,compound-003_6_D21,L-Thyroxine,10.0,1.7134766578674316
6,compound-003_6_D22,CRISPR_control,,0.6129786968231201
6,compound-003_6_D23,CRISPR_control,,0.6229006052017212
6,compound-003_6_D26,Lumiracoxib,0.25,0.5529552698135376
6,compound-003_6_D28,Gallamine,0.025,0.6015508770942688
6,compound-003_6_D29,PD0325901,2.5,1.9868746995925903
6,compound-003_6_D30,Tenofovir Disoproxil Fumarate,1.0,0.5114050507545471
6,compound-003_6_D31,Belinostat,2.5,1.569638967514038
6,compound-003_6_D32,Moxonidine,1.0,0.9368936419487
6,compound-003_6_D33,YO-01027,0.25,0.9172527194023132
6,compound-003_6_D34,EMPTY_control,,0.9365891218185425
6,compound-003_6_D37,Fluvastatin (sodium salt hydrate),0.1,1.9301124811172485
6,compound-003_6_D38,VX-809,1.0,1.143721103668213
6,compound-003_6_D41,Dipyridamole,0.0025,1.0071865320205688
6,compound-003_6_D43,BI 2536,2.5,2.438819646835327
6,compound-003_6_D46,CRISPR_control,,2.011986017227173
6,compound-003_6_E06,Famciclovir,0.025,2.440321922302246
6,compound-003_6_E07,ketorolac,10.0,0.39349427819252014
6,compound-003_6_E09,EMPTY_control,,0.8043609857559204
6,compound-003_6_E10,ketorolac,0.1,0.9334318041801453
6,compound-003_6_E12,ifosfamide,10.0,0.8452852964401245
6,compound-003_6_E13,flunixin-meglumin,1.0,0.37978848814964294
6,compound-003_6_E15,EMPTY_control,,0.7057519555091858
6,compound-003_6_E16,CRISPR_control,,0.9722768068313599
6,compound-003_6_E17,Tenofovir Disoproxil Fumarate,0.025,0.6141950488090515
6,compound-003_6_E21,Cabazitaxel,0.0025,2.3439924716949463
6,compound-003_6_E23,Thiazovivin,0.25,0.5153605937957764
6,compound-003_6_E24,Indirubin,0.1,2.019108772277832
6,compound-003_6_E26,Cediranib,0.01,0.6323446035385132
6,compound-003_6_E27,Rotundine,0.025,0.4934947192668915
6,compound-003_6_E28,EMPTY_control,,0.7687397003173828
6,compound-003_6_E29,CRISPR_control,,0.8990585207939148
6,compound-003_6_E30,Tizanidine,2.5,1.0487977266311646
6,compound-003_6_E31,Sclareolide,10.0,0.4262795150279999
6,compound-003_6_E34,6-Mercaptopurine (6-MP),2.5,1.0571037530899048
6,compound-003_6_E35,EMPTY_control,,0.5971290469169617
6,compound-003_6_E36,EMPTY_control,,0.705270528793335
6,compound-003_6_E37,VX-809,0.0025,0.53520667552948
6,compound-003_6_E38,dapagliflozin,10.0,0.62331223487854
6,compound-003_6_E41,Sulfamethizole,1.0,0.3606291115283966
6,compound-003_6_E43,Tenofovir Disoproxil Fumarate,0.1,0.6220382452011108
6,compound-003_6_E45,Zafirlukast,0.0025,0.9521607160568237
6,compound-003_6_E46,Alibendol,10.0,0.622824490070343
6,compound-003_6_F03,CRISPR_control,,1.2735508680343628
6,compound-003_6_F04,Cediranib,1.0,2.23854398727417
6,compound-003_6_F05,Rotundine,0.01,1.274425983428955
6,compound-003_6_F06,L-Adrenaline,0.1,0.87195885181427
6,compound-003_6_F08,EMPTY_control,,0.40474918484687805
6,compound-003_6_F09,Sulfamethizole,0.0025,0.8459882140159607
6,compound-003_6_F10,MLN2238,2.5,5.1259684562683105
6,compound-003_6_F12,Moxonidine,0.1,0.5789376497268677
6,compound-003_6_F13,CRISPR_control,,0.47508248686790466
6,compound-003_6_F15,Thiazovivin,2.5,0.6709936857223511
6,compound-003_6_F17,Vidarabine,2.5,0.5603662133216858
6,compound-003_6_F18,Methoxsalen,0.025,1.2970776557922363
6,compound-003_6_F27,telaprevir,0.0025,1.0109920501708984
6,compound-003_6_F28,CRISPR_control,,0.8113951086997986
